surgeryType,department,priceRange,avgCost,recoveryTime,surgeryDuration,bedAvailability
cataract,Ophthalmology,"₹15,000 - ₹1,60,000","₹35,000",14-28 days,10-30 mins,1200+ beds
heart bypass (CABG),Cardiology,"₹2,25,000 - ₹8,00,000","₹3,25,000",42-84 days,3-6 hours,50+ beds
knee replacement,Orthopedics,"₹1,50,000 - ₹7,50,000","₹2,80,000",90-180 days,1-2 hours,30+ beds
hip replacement,Orthopedics,"₹1,50,000 - ₹7,00,000","₹3,15,000",90-365 days,1-2 hours,25+ beds
appendix,General Surgery,"₹45,000 - ₹1,25,000","₹88,000",7-28 days,1-2 hours,Available
gallbladder,General Surgery,"₹45,000 - ₹2,00,000","₹90,000",14-42 days,1-2 hours,Available
brain,Neurosurgery,"₹2,00,000 - ₹14,00,000","₹4,40,000",30-365 days,3-5 hours,15+ beds
spine,Neurosurgery,"₹1,15,000 - ₹5,00,000","₹2,50,000",90-365 days,3-6 hours,12+ beds
